,isHate,comment
0,0,car car car car
1,0,hide engine would get killedthat stupid way smuggle another country
2,0,build wall deport
3,0,jon snow king north thank uploading one small complaint talking deporting illegal immigrant immigrant general title might mislead informed
4,0,stopping illegal immigration done year ago turned beloved los angeles turn filthy mexican border town complete latino gang million undocumented uneducated povertystricken alien absolutely nothing add quality life strong back proclivity dozen baby become legal citizen due insane law forcing california teacher teach native language additional increase already low wage add free health care welfare hundred thousand enjoying american taxpayer expense blueprint disaster left california good voted trump good every time see mexican graffiti pristine neighborhood los angeles want help build wall fear far late million illegals america soon become united state mexicobr seeing exact thing happen western europe england france germany unfortunately live see exact thing happen complete utter destruction country border culture identity sacrificed altar uncontrolled globalism purposely created turmoil economic disaster
5,0,people come must able contribute society drain must able support trade need people living rest
6,1,bother people say deportimg illegal immigrant take workforce farm completley false deports wetback get rid foodstamps nigger back working farm like used
7,0,whats big deal mexico immigration law policy deport people time nothing said done yet united state chooses enforce immigration law policy people become shocked outraged
8,0,war discrimination military necessity korematsus case reached supreme court october attorney government pointed constitutional war power congress president government argued military must take step necessary wage war successfully view president roosevelt war department general dewitt internment japanese issei nisei military necessity assuming war isi rounding isi would racist december supreme court decided uphold conviction korematsu majority ruled refusal leave prohibited military area consider constitutionality relocation camp justice hugo black writing majority fully accepted view general dewitt justice black also said korematsu forced home race military urgency situation url url
9,0,ive trying figure common american voter uniformed republican democrat year democrat slightest clue obama deported mexican president history
10,0,take issue shine turn sideways stick straight money ass
11,0,know good heart want criminal illegal hard working family appears make sure start process become citizen take united state joke
12,0,trump like imigrants doe like criminal take advantage safe city keep criminal get trouble
13,0,migrant already developed country get civilized people dont anymore wild world migrant burn town cause crime low skilled eternally impoverished people certainly help world country donation charity dont need import society
14,0,nice title think left word illegal
15,0,poor sound quality
16,0,translation gonna deport bad one first good oneslater
17,0,politic thing said wont
18,0,hate
19,0,dont hate trump anymore fooled many others senator would spend arm probably leg get vote trump hand used social medium etc million dollar hearing made sense said say win wouldnt agree deport illegals bad glad said one contribute america would get chance legal heck yeah thanks trump aint mad cha anymore
20,1,trump want deport illegal immigrant say mean period
21,0,good job sweden plz
22,0,good video
23,1,greek want muslim greek fighting islam century greece believe wont allow mosque built
24,0,wont last long
25,0,hope europe yet
26,1,send fucktards canada government accepts anybody regardles theopinion working man worked life
27,0,looking oil reserve imigrant
28,0,time
29,0,excellent video thanks anthony brian
30,1,islam cancer get rid muhammad cross dressing pedophile
31,0,one people truly give man chance everyone must careful policy send illegals back ever remember black people going back farmsplantations looking kid clean house falling line jim crow law allowing fellow men beaten shining shoe working little nothing slavery making come back last time white supremacy fucking everything got mlk attitude black people best believe start fucking get malcolm attitude time mean necessary
32,0,live sweden felt big effect society specielly schoolsalot migrant school trying get sexual contact kind year younger fucked
33,0,thank god agree hillary obama wanted bring people rich protection dont live amongst
34,0,want live normal ppls motherland western people bom country stoneage else want
35,0,horrible absolutely horrible
36,0,thanks sharing anthony well done doesnt medium talk doe anyone really trust medium dont lol
37,1,islam feminist religion cult based violence terrorism apon others
38,1,muslim parasite vermin need exterminated
39,0,good hear american say alot lot dont get situation big fat thank friend
40,1,good beautiful ghift swedish take back sweden belongs dear friend refugee europe
41,0,good sweden fucking time
42,0,poor old man deserve whoever vote take lead example take home
43,0,mafioso sure would love use jungle ape target
44,1,look like nazi invasion autoritys collaborrating woold blow place everyone brought like woold take anyone
45,0,make blood boil
46,1,send bill police department cost damage know shit floor left big mess
47,1,get italy vote get fuck destroying country private property law italian property italy italian govt come take private property use house illegal immigrant caused italy membership vote leave living insane asylum wake
48,0,medical free italy
49,1,disgusting thing ever seen come man hotel like take disgusting allow scum like refugee walk eww home scum
50,0,real would take arm govt cheer new zealand
51,1,proof government suck people dick give anything want guarantee whats next theyll allow rape daughter people italy force switch islam pay high consequence government force heed word leave
52,0,signed contract backward government house third world refugee think going get disabled european war veteran
53,0,diversity great forced throat italian
54,0,politician going wood chippers also police
55,1,bastard cant even property without danger government taking
56,1,forced let let make big pot welcome soup full rat poison problem solved
57,0,slave luigi
58,1,need bring back fascism concentration camp properly deal rat infestation
